"questions","answers"
"Intra Ocular Lens after Cataract Surgery in Hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/k6YzMzcv8AI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Glaucoma in Hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/N0MNxGTlQeg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Causes and solutions for wearing glasses in children in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KlTzfkij4HU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Dry eyes in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/SlJPfdENaCM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Information about Eye allergy in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/oI3hzzKAU_I"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"migraine in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/YwQM_lAMmjM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"what is the treatment of cataract in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/06ZM5obECtA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"ICL Technique for removal of Spectacles in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/9IBVTsze4yw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Why is an eye exam important in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/SfUgJ78VoOo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Keratoconus in hindi","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/aV7yqlyhYaw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"Diabetic Retinopathy - Risk factors, etiopathogenesis, clinical features, classification & treatment","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kaW4_0T3RNw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
"how to clean my eyes","To clean your eyes, refrain from rubbing them and use a warm compress for relief and removal of debris. If necessary, a doctor-approved cleaning method or saline solution can be used. Over-the-counter eye drops can also help keep eyes clean and moisturized. Regularly clean eyewear to avoid irritation. Good hand hygiene can prevent eye infections. If your eyes are frequently irritated or red, seek professional care. Never try to remove foreign objects from your eyes by yourself; always seek medical attention."
"What is cataract in marathi","It is motiyabindu"
"what is cataract in hindi","It is motiyabind"
"what is dry eye in hindi","aankho me sukha pan"
